,reg_code,reg_name,AR6WG1_R58x,GFED_R14x,Global,GLOBIOM_R30,GLOBIOM_R37,IAMC_R10,IAMC_R5,IAMC_R9,MESSAGE_R11,MESSAGE_R12,RECCAP_R18x,Resolution_0p125deg,Resolution_0p25deg,Resolution_0p5deg,Resolution_1deg,Resolution_2deg,Resolution_2p5deg,SREX_R26x
0,XXX,Unknown,XXX,XXXX,XXX,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
1,ABW,Aruba,CAR,XXXX,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,LAM,LAM,XXX,ABW,ABW,ABW,ABW,ABW,ABW,XXX
2,AFG,Afghanistan,WCA,MIDE,XXL,RSAS,RSAS,INDIA+,ASIA,OTHERASIA,SAS,SAS,SAS,AFG,AFG,AFG,AFG,AFG,AFG,CAS
3,AGO,Angola,WSAF,SHAF,XXL,RoSAfr,RoSAfr,AFRICA,MAF,MAF,AFR,AFR,SAF,AGO,AGO,AGO,AGO,AGO,AGO,SAF
4,AIA,Anguilla,CAR,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,LAM,LAM,XXX,AIA,AIA,AIA,AIA,XXX,XXX,XXX
5,ALA,Aland,NEU,EURO,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,XXX,ALA,ALA,ALA,ALA,ALA,ALA,NEU
6,ALB,Albania,MED,EURO,XXL,RCEU,RCEU,EUROPE,OECD90+EU,OTHEROECD,EEU,EEU,EU,ALB,ALB,ALB,ALB,ALB,ALB,MED
7,AND,Andorra,MED,EURO,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,EU,AND,AND,AND,XXX,XXX,AND,MED
8,ARE,United Arab Emirates,ARP,MIDE,XXL,MidEastNAfr,MidEast,MIDDLE_EAST,MAF,MAF,MEA,MEA,MIDE,ARE,ARE,ARE,ARE,ARE,ARE,WAS
9,ARG,Argentina,SES,SHSA,XXL,RSAM,ARG,LATIN_AM,LAM,LAM,LAM,LAM,SSA,ARG,ARG,ARG,ARG,ARG,ARG,SSA
10,ARM,Armenia,WCA,CEAS,XXL,Former_USSR,RFSU,REF_ECON,REF,REF,FSU,FSU,MIDE,ARM,ARM,ARM,ARM,ARM,ARM,WAS
11,ASM,American Samoa,SPO,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,PAS,PAS,XXX,ASM,ASM,ASM,ASM,ASM,ASM,XXX
12,ATA,Antarctica,EAN,XXXX,XXX,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,XXX,ATA,ATA,ATA,ATA,ATA,ATA,XXX
13,ATF,French Southern Territories,SOO,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,XXX,ATF,ATF,ATF,ATF,ATF,ATF,XXX
14,ATG,Antigua and Barbuda,CAR,XXXX,XXL,ROWO,ROWO,LATIN_AM,LAM,LAM,LAM,LAM,XXX,ATG,ATG,ATG,ATG,ATG,ATG,XXX
15,AU-01,Australia - North East,EAU,AUST,XXL,ANZ,AUS,PAC_OECD,OECD90+EU,OTHEROECD,PAO,PAO,OCE,AU-01,AU-01,AU-01,AU-01,AU-01,AU-01,NAU
16,AU-02,Australia - Central East,EAU,AUST,XXL,ANZ,AUS,PAC_OECD,OECD90+EU,OTHEROECD,PAO,PAO,OCE,AU-02,AU-02,AU-02,AU-02,AU-02,AU-02,SAU
17,AU-03,Australia - South East,SAU,AUST,XXL,ANZ,AUS,PAC_OECD,OECD90+EU,OTHEROECD,PAO,PAO,OCE,AU-03,AU-03,AU-03,AU-03,AU-03,AU-03,SAU
18,AU-WA,Western Australia,CAU,AUST,XXL,ANZ,AUS,PAC_OECD,OECD90+EU,OTHEROECD,PAO,PAO,OCE,AU-WA,AU-WA,AU-WA,AU-WA,AU-WA,AU-WA,NAU
19,AUS,Australia,XXX,AUST,XXL,ANZ,AUS,PAC_OECD,OECD90+EU,OTHEROECD,PAO,PAO,OCE,XXX,XXX,XXX,XXX,XXX,XXX,XXX
20,AUT,Austria,WCE,EURO,XXL,EU_MidWest,EU_MidWest,EUROPE,OECD90+EU,EU,WEU,WEU,EU,AUT,AUT,AUT,AUT,AUT,AUT,CEU
21,AZE,Azerbaijan,WCA,CEAS,XXL,Former_USSR,RFSU,REF_ECON,REF,REF,FSU,FSU,MIDE,AZE,AZE,AZE,AZE,AZE,AZE,WAS
22,BDI,Burundi,SEAF,SHAF,XXL,EastAfr,EastAfr,AFRICA,MAF,MAF,AFR,AFR,EQAF,BDI,BDI,BDI,BDI,BDI,BDI,EAF
23,BEL,Belgium,WCE,EURO,XXL,EU_MidWest,EU_MidWest,EUROPE,OECD90+EU,EU,WEU,WEU,EU,BEL,BEL,BEL,BEL,BEL,BEL,CEU
24,BEN,Benin,WAF,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,EQAF,BEN,BEN,BEN,BEN,BEN,BEN,WAF
25,BES,"Bonaire, Sint Eustatius and Saba",CAR,NHSA,XXL,RCAM,RCAM,ROWO,ROWO,ROWO,LAM,LAM,XXX,BES,BES,BES,BES,BES,BES,XXX
26,BFA,Burkina Faso,WAF,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,EQAF,BFA,BFA,BFA,BFA,BFA,BFA,WAF
27,BGD,Bangladesh,SAS,SEAS,XXL,RSAS,RSAS,INDIA+,ASIA,OTHERASIA,SAS,SAS,SAS,BGD,BGD,BGD,BGD,BGD,BGD,SAS
28,BGR,Bulgaria,MED,EURO,XXL,EU_CentEast,EU_CentEast,EUROPE,OECD90+EU,EU,EEU,EEU,EU,BGR,BGR,BGR,BGR,BGR,BGR,MED
29,BHR,Bahrain,ARP,XXXX,XXL,MidEastNAfr,MidEast,MIDDLE_EAST,MAF,MAF,MEA,MEA,XXX,BHR,BHR,BHR,BHR,BHR,XXX,WAS
30,BHS,Bahamas,CAR,CEAM,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,LAM,LAM,CAM,BHS,BHS,BHS,BHS,BHS,BHS,ENA
