,reg_code,reg_name,AR6WG1_R58x,GFED_R14x,Global,GLOBIOM_R30,GLOBIOM_R37,IAMC_R10,IAMC_R5,IAMC_R9,MESSAGE_R11,MESSAGE_R12,RECCAP_R18x,Resolution_0p125deg,Resolution_0p25deg,Resolution_0p5deg,Resolution_1deg,Resolution_2deg,Resolution_2p5deg,SREX_R26x
31,BIH,Bosnia and Herzegovina,MED,EURO,XXL,RCEU,RCEU,EUROPE,OECD90+EU,OTHEROECD,EEU,EEU,EU,BIH,BIH,BIH,BIH,BIH,BIH,MED
32,BLM,Saint Barthelemy,CAR,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
33,BLR,Belarus,WCE,CEAS,XXL,Former_USSR,RFSU,REF_ECON,REF,REF,FSU,FSU,EU,BLR,BLR,BLR,BLR,BLR,BLR,CEU
34,BLZ,Belize,SCA,CEAM,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,LAM,LAM,CAM,BLZ,BLZ,BLZ,BLZ,BLZ,BLZ,CAM
35,BMU,Bermuda,NAO,XXXX,XXL,RCAM,RCAM,ROWO,ROWO,ROWO,LAM,LAM,XXX,BMU,BMU,XXX,XXX,XXX,XXX,ENA
36,BOL,Bolivia,SAM,SHSA,XXL,RSAM,RSAM,LATIN_AM,LAM,LAM,LAM,LAM,SSA,BOL,BOL,BOL,BOL,BOL,BOL,AMZ
37,BR-01,Brazil - North,NSA,SHSA,XXL,BRA,BRA,LATIN_AM,LAM,LAM,LAM,LAM,BRA,BR-01,BR-01,BR-01,BR-01,BR-01,BR-01,AMZ
38,BR-02,Brazil - Northeast,NES,SHSA,XXL,BRA,BRA,LATIN_AM,LAM,LAM,LAM,LAM,BRA,BR-02,BR-02,BR-02,BR-02,BR-02,BR-02,NEB
39,BR-03,Brazil - Central West,SAM,SHSA,XXL,BRA,BRA,LATIN_AM,LAM,LAM,LAM,LAM,BRA,BR-03,BR-03,BR-03,BR-03,BR-03,BR-03,AMZ
40,BR-04,Brazil - Southeast,NES,SHSA,XXL,BRA,BRA,LATIN_AM,LAM,LAM,LAM,LAM,BRA,BR-04,BR-04,BR-04,BR-04,BR-04,BR-04,NEB
41,BR-05,Brazil - South,SES,SHSA,XXL,BRA,BRA,LATIN_AM,LAM,LAM,LAM,LAM,BRA,BR-05,BR-05,BR-05,BR-05,BR-05,BR-05,SSA
42,BRA,Brazil,XXX,SHSA,XXL,BRA,BRA,LATIN_AM,LAM,LAM,LAM,LAM,BRA,XXX,XXX,XXX,XXX,XXX,XXX,XXX
43,BRB,Barbados,CAR,CEAM,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,LAM,LAM,XXX,BRB,BRB,BRB,XXX,XXX,XXX,XXX
44,BRN,Brunei,SEA,EQAS,XXL,RSEA_OPA,RSEA_OPA,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,SEAS,BRN,BRN,BRN,BRN,XXX,BRN,SEA
45,BTN,Bhutan,TIB,SEAS,XXL,RSAS,RSAS,INDIA+,ASIA,OTHERASIA,SAS,SAS,SAS,BTN,BTN,BTN,BTN,BTN,BTN,SAS
46,BVT,Bouvet Island,SOO,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,XXX,BVT,XXX,XXX,XXX,XXX,XXX,XXX
47,BWA,Botswana,WSAF,SHAF,XXL,RoSAfr,RoSAfr,AFRICA,MAF,MAF,AFR,AFR,SAF,BWA,BWA,BWA,BWA,BWA,BWA,SAF
48,CA-01,Canada - Atlantic,ENA,BONA,XXL,CAN,CAN,NORTH_AM,OECD90+EU,OTHEROECD,NAM,NAM,CAN,CA-01,CA-01,CA-01,CA-01,CA-01,CA-01,ENA
49,CA-02,Canada - Prairies,NWN,BONA,XXL,CAN,CAN,NORTH_AM,OECD90+EU,OTHEROECD,NAM,NAM,CAN,CA-02,CA-02,CA-02,CA-02,CA-02,CA-02,WNA
50,CA-03,Canada - Territories,NWN,BONA,XXL,CAN,CAN,NORTH_AM,OECD90+EU,OTHEROECD,NAM,NAM,CAN,CA-03,CA-03,CA-03,CA-03,CA-03,CA-03,ALA
51,CA-BC,British Columbia,NWN,BONA,XXL,CAN,CAN,NORTH_AM,OECD90+EU,OTHEROECD,NAM,NAM,CAN,CA-BC,CA-BC,CA-BC,CA-BC,CA-BC,CA-BC,WNA
52,CA-ON,Ontario,ENA,BONA,XXL,CAN,CAN,NORTH_AM,OECD90+EU,OTHEROECD,NAM,NAM,CAN,CA-ON,CA-ON,CA-ON,CA-ON,CA-ON,CA-ON,ENA
53,CA-QC,Quebec,NEN,BONA,XXL,CAN,CAN,NORTH_AM,OECD90+EU,OTHEROECD,NAM,NAM,CAN,CA-QC,CA-QC,CA-QC,CA-QC,CA-QC,CA-QC,ENA
54,CAF,Central African Republic,CAF,NHAF,XXL,Congo_Basin,Congo_Basin,AFRICA,MAF,MAF,AFR,AFR,EQAF,CAF,CAF,CAF,CAF,CAF,CAF,WAF
55,CAN,Canada,XXX,BONA,XXL,CAN,CAN,NORTH_AM,OECD90+EU,OTHEROECD,NAM,NAM,CAN,XXX,XXX,XXX,XXX,XXX,XXX,XXX
56,CCK,Cocos Islands,SIO,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,PAS,PAS,XXX,CCK,CCK,CCK,CCK,CCK,XXX,XXX
57,CHE,Switzerland,WCE,EURO,XXL,ROWE,ROWE,EUROPE,OECD90+EU,OTHEROECD,WEU,WEU,EU,CHE,CHE,CHE,CHE,CHE,CHE,CEU
58,CHL,Chile,SWS,SHSA,XXL,RSAM,RSAM,LATIN_AM,LAM,LAM,LAM,LAM,SSA,CHL,CHL,CHL,CHL,CHL,CHL,WSA
59,CHN,China,XXX,CEAS,XXL,CHN,CHN,CHINA+,ASIA,CHINA,CPA,CHN,CHN,XXX,XXX,XXX,XXX,XXX,XXX,XXX
60,CIV,Ivory Coast,WAF,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,EQAF,CIV,CIV,CIV,CIV,CIV,CIV,WAF
61,CMR,Cameroon,CAF,NHAF,XXL,Congo_Basin,Congo_Basin,AFRICA,MAF,MAF,AFR,AFR,EQAF,CMR,CMR,CMR,CMR,CMR,CMR,WAF
62,CN-01,Mainland China - Northeast,ECA,CEAS,XXL,CHN,CHN,CHINA+,ASIA,CHINA,CPA,CHN,CHN,CN-01,CN-01,CN-01,CN-01,CN-01,CN-01,EAS
63,CN-02,Mainland China - North,ESB,CEAS,XXL,CHN,CHN,CHINA+,ASIA,CHINA,CPA,CHN,CHN,CN-02,CN-02,CN-02,CN-02,CN-02,CN-02,EAS
64,CN-03,Mainland China - East,EAS,CEAS,XXL,CHN,CHN,CHINA+,ASIA,CHINA,CPA,CHN,CHN,CN-03,CN-03,CN-03,CN-03,CN-03,CN-03,EAS
65,CN-04,Mainland China - South Central,EAS,CEAS,XXL,CHN,CHN,CHINA+,ASIA,CHINA,CPA,CHN,CHN,CN-04,CN-04,CN-04,CN-04,CN-04,CN-04,EAS
66,CN-05,Mainland China - Northwest,TIB,CEAS,XXL,CHN,CHN,CHINA+,ASIA,CHINA,CPA,CHN,CHN,CN-05,CN-05,CN-05,CN-05,CN-05,CN-05,TIB
67,CN-06,Mainland China - Southwest,ECA,CEAS,XXL,CHN,CHN,CHINA+,ASIA,CHINA,CPA,CHN,CHN,CN-06,CN-06,CN-06,CN-06,CN-06,CN-06,TIB
68,COD,DR Congo,CAF,SHAF,XXL,Congo_Basin,Congo_Basin,AFRICA,MAF,MAF,AFR,AFR,EQAF,COD,COD,COD,COD,COD,COD,EAF
69,COG,Congo,CAF,SHAF,XXL,Congo_Basin,Congo_Basin,AFRICA,MAF,MAF,AFR,AFR,EQAF,COG,COG,COG,COG,COG,COG,WAF
70,COK,Cook Islands,SPO,XXXX,XXL,ROWO,ROWO,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,XXX,COK,COK,COK,COK,COK,COK,XXX
71,COL,Colombia,NWS,NHSA,XXL,RSAM,RSAM,LATIN_AM,LAM,LAM,LAM,LAM,NSA,COL,COL,COL,COL,COL,COL,AMZ
72,COM,Comoros,ESAF,SHAF,XXL,RoSAfr,RoSAfr,AFRICA,MAF,MAF,AFR,AFR,XXX,COM,COM,COM,COM,COM,XXX,SAF
73,CPV,Cabo Verde,NAO,XXXX,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,XXX,CPV,CPV,CPV,CPV,CPV,CPV,XXX
74,CRI,Costa Rica,SCA,CEAM,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,LAM,LAM,CAM,CRI,CRI,CRI,CRI,CRI,CRI,CAM
75,CUB,Cuba,CAR,CEAM,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,LAM,LAM,CAM,CUB,CUB,CUB,CUB,CUB,CUB,CAM
76,CUW,Curacao,CAR,CEAM,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,LAM,LAM,XXX,CUW,CUW,CUW,CUW,CUW,XXX,XXX
77,CXR,Christmas Island,SIO,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,PAO,PAO,XXX,CXR,CXR,CXR,XXX,XXX,XXX,XXX
78,CYM,Cayman Islands,CAR,CEAM,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,LAM,LAM,XXX,CYM,CYM,CYM,CYM,CYM,CYM,CAM
79,CYP,Cyprus,MED,EURO,XXL,EU_South,EU_South,EUROPE,OECD90+EU,EU,WEU,WEU,EU,CYP,CYP,CYP,CYP,CYP,CYP,MED
80,CZE,Czechia,WCE,EURO,XXL,EU_CentEast,EU_CentEast,EUROPE,OECD90+EU,EU,EEU,EEU,EU,CZE,CZE,CZE,CZE,CZE,CZE,CEU
81,DEU,Germany,WCE,EURO,XXL,EU_MidWest,EU_MidWest,EUROPE,OECD90+EU,EU,WEU,WEU,EU,DEU,DEU,DEU,DEU,DEU,DEU,CEU
82,DJI,Djibouti,NEAF,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,NAF,DJI,DJI,DJI,DJI,DJI,DJI,EAF
83,DMA,Dominica,CAR,CEAM,XXL,RCAM,RCAM,ROWO,ROWO,ROWO,LAM,LAM,XXX,DMA,DMA,DMA,XXX,XXX,XXX,XXX
84,DNK,Denmark,NEU,EURO,XXL,EU_North,EU_North,EUROPE,OECD90+EU,EU,WEU,WEU,EU,DNK,DNK,DNK,DNK,DNK,DNK,NEU
85,DOM,Dominican Republic,CAR,CEAM,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,LAM,LAM,CAM,DOM,DOM,DOM,DOM,DOM,DOM,XXX
86,DZA,Algeria,SAH,MIDE,XXL,MidEastNAfr,NAfr,AFRICA,MAF,MAF,MEA,MEA,NAF,DZA,DZA,DZA,DZA,DZA,DZA,SAH
87,ECU,Ecuador,NWS,SHSA,XXL,RSAM,RSAM,LATIN_AM,LAM,LAM,LAM,LAM,NSA,ECU,ECU,ECU,ECU,ECU,ECU,AMZ
88,EGY,Egypt,SAH,MIDE,XXL,MidEastNAfr,NAfr,AFRICA,MAF,MAF,MEA,MEA,NAF,EGY,EGY,EGY,EGY,EGY,EGY,SAH
89,ERI,Eritrea,NEAF,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,NAF,ERI,ERI,ERI,ERI,ERI,ERI,SAH
90,ESH,Western Sahara,SAH,MIDE,XXL,ROWO,NAfr,AFRICA,MAF,MAF,AFR,AFR,NAF,ESH,ESH,ESH,ESH,ESH,ESH,SAH
91,ESP,Spain,MED,EURO,XXL,EU_South,EU_South,EUROPE,OECD90+EU,EU,WEU,WEU,EU,ESP,ESP,ESP,ESP,ESP,ESP,MED
92,EST,Estonia,NEU,EURO,XXL,EU_Baltic,EU_Baltic,EUROPE,OECD90+EU,EU,EEU,EEU,EU,EST,EST,EST,EST,EST,EST,NEU
93,ETH,Ethiopia,NEAF,NHAF,XXL,EastAfr,EastAfr,AFRICA,MAF,MAF,AFR,AFR,NAF,ETH,ETH,ETH,ETH,ETH,ETH,EAF
94,FIN,Finland,NEU,EURO,XXL,EU_North,EU_North,EUROPE,OECD90+EU,EU,WEU,WEU,EU,FIN,FIN,FIN,FIN,FIN,FIN,NEU
95,FJI,Fiji,SPO,AUST,XXL,PAC_Islands,PAC_Islands,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,XXX,FJI,FJI,FJI,FJI,FJI,FJI,XXX
96,FLK,Falkland Islands,SSA,EURO,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,LAM,LAM,XXX,FLK,FLK,FLK,FLK,FLK,FLK,SSA
97,FRA,France,WCE,EURO,XXL,EU_MidWest,EU_MidWest,EUROPE,OECD90+EU,EU,WEU,WEU,EU,FRA,FRA,FRA,FRA,FRA,FRA,CEU
98,FRO,Faroe Islands,NEU,EURO,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,XXX,FRO,FRO,FRO,FRO,FRO,FRO,NEU
99,FSM,Micronesia,EPO,XXXX,XXL,ROWO,ROWO,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,XXX,FSM,FSM,FSM,FSM,FSM,FSM,SEA
100,GAB,Gabon,CAF,SHAF,XXL,Congo_Basin,Congo_Basin,AFRICA,MAF,MAF,AFR,AFR,EQAF,GAB,GAB,GAB,GAB,GAB,GAB,WAF
101,GBR,United Kingdom,NEU,EURO,XXL,EU_North,EU_North,EUROPE,OECD90+EU,OTHEROECD,WEU,WEU,EU,GBR,GBR,GBR,GBR,GBR,GBR,NEU
102,GEO,Georgia,WCA,CEAS,XXL,Former_USSR,RFSU,REF_ECON,REF,REF,FSU,FSU,MIDE,GEO,GEO,GEO,GEO,GEO,GEO,WAS
103,GGY,Guernsey,WCE,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,XXX,GGY,GGY,GGY,XXX,XXX,GGY,CEU
104,GHA,Ghana,WAF,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,EQAF,GHA,GHA,GHA,GHA,GHA,GHA,WAF
105,GIB,Gibraltar,MED,EURO,XXL,ROWE,ROWE,ROWO,ROWO,ROWO,WEU,WEU,EU,GIB,XXX,XXX,XXX,XXX,XXX,MED
106,GIN,Guinea,WAF,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,EQAF,GIN,GIN,GIN,GIN,GIN,GIN,WAF
107,GLP,Guadeloupe,CAR,CEAM,XXL,ROWO,ROWO,LATIN_AM,LAM,LAM,LAM,LAM,CAM,GLP,GLP,GLP,GLP,GLP,XXX,XXX
108,GMB,Gambia,WAF,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,NAF,GMB,GMB,GMB,GMB,GMB,GMB,WAF
109,GNB,Guinea-Bissau,WAF,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,EQAF,GNB,GNB,GNB,GNB,GNB,GNB,WAF
110,GNQ,Equatorial Guinea,CAF,NHAF,XXL,Congo_Basin,Congo_Basin,AFRICA,MAF,MAF,AFR,AFR,EQAF,GNQ,GNQ,GNQ,GNQ,GNQ,GNQ,WAF
111,GRC,Greece,MED,EURO,XXL,EU_South,EU_South,EUROPE,OECD90+EU,EU,WEU,WEU,EU,GRC,GRC,GRC,GRC,GRC,GRC,MED
112,GRD,Grenada,CAR,CEAM,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,LAM,LAM,XXX,GRD,GRD,GRD,GRD,GRD,GRD,XXX
113,GRL,Greenland,GIC,EURO,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,XXX,GRL,GRL,GRL,GRL,GRL,GRL,CGI
114,GTM,Guatemala,SCA,CEAM,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,LAM,LAM,CAM,GTM,GTM,GTM,GTM,GTM,GTM,CAM
115,GUF,French Guiana,NSA,NHSA,XXL,ROWO,ROWO,LATIN_AM,LAM,LAM,LAM,LAM,NSA,GUF,GUF,GUF,GUF,GUF,GUF,AMZ
116,GUM,Guam,NPO,SEAS,XXL,ROWO,ROWO,NORTH_AM,OECD90+EU,OTHEROECD,NAM,NAM,XXX,GUM,GUM,GUM,XXX,XXX,XXX,SEA
117,GUY,Guyana,NSA,NHSA,XXL,RSAM,RSAM,LATIN_AM,LAM,LAM,LAM,LAM,NSA,GUY,GUY,GUY,GUY,GUY,GUY,AMZ
118,HKG,Hong Kong,EAS,CEAS,XXL,ROWO,ROWO,CHINA+,ASIA,CHINA,CPA,CHN,CHN,HKG,HKG,HKG,HKG,HKG,HKG,EAS
119,HMD,Heard Island and McDonald Islands,SOO,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,PAO,PAO,XXX,HMD,HMD,HMD,HMD,XXX,XXX,XXX
120,HND,Honduras,SCA,CEAM,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,LAM,LAM,CAM,HND,HND,HND,HND,HND,HND,CAM
121,HRV,Croatia,WCE,EURO,XXL,RCEU,RCEU,EUROPE,OECD90+EU,EU,EEU,EEU,EU,HRV,HRV,HRV,HRV,HRV,HRV,CEU
122,HTI,Haiti,CAR,CEAM,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,LAM,LAM,CAM,HTI,HTI,HTI,HTI,HTI,HTI,XXX
123,HUN,Hungary,WCE,EURO,XXL,EU_CentEast,EU_CentEast,EUROPE,OECD90+EU,EU,EEU,EEU,EU,HUN,HUN,HUN,HUN,HUN,HUN,CEU
124,IDN,Indonesia,SEA,EQAS,XXL,RSEA_OPA,IDN,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,SEAS,IDN,IDN,IDN,IDN,IDN,IDN,SEA
125,IMN,Isle of Man,NEU,EURO,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,XXX,IMN,IMN,IMN,XXX,XXX,XXX,NEU
126,IND,India,SAS,SEAS,XXL,IND,IND,INDIA+,ASIA,INDIA,SAS,SAS,SAS,IND,IND,IND,IND,IND,IND,SAS
127,IOT,British Indian Ocean Territory,EIO,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,XXX,IOT,IOT,IOT,IOT,IOT,XXX,XXX
128,IRL,Ireland,NEU,EURO,XXL,EU_North,EU_North,EUROPE,OECD90+EU,EU,WEU,WEU,EU,IRL,IRL,IRL,IRL,IRL,IRL,NEU
129,IRN,Iran,WCA,MIDE,XXL,MidEastNAfr,MidEast,MIDDLE_EAST,MAF,MAF,MEA,MEA,MIDE,IRN,IRN,IRN,IRN,IRN,IRN,WAS
130,IRQ,Iraq,WCA,MIDE,XXL,MidEastNAfr,MidEast,MIDDLE_EAST,MAF,MAF,MEA,MEA,MIDE,IRQ,IRQ,IRQ,IRQ,IRQ,IRQ,WAS
131,ISL,Iceland,GIC,EURO,XXL,ROWE,ROWE,EUROPE,OECD90+EU,OTHEROECD,WEU,WEU,XXX,ISL,ISL,ISL,ISL,ISL,ISL,CGI
132,ISR,Israel,MED,MIDE,XXL,MidEastNAfr,MidEast,MIDDLE_EAST,MAF,MAF,MEA,MEA,MIDE,ISR,ISR,ISR,ISR,ISR,ISR,MED
133,ITA,Italy,MED,EURO,XXL,EU_South,EU_South,EUROPE,OECD90+EU,EU,WEU,WEU,EU,ITA,ITA,ITA,ITA,ITA,ITA,MED
134,JAM,Jamaica,CAR,CEAM,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,LAM,LAM,CAM,JAM,JAM,JAM,JAM,JAM,JAM,CAM
135,JEY,Jersey,WCE,EURO,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,XXX,JEY,JEY,XXX,XXX,XXX,XXX,CEU
136,JOR,Jordan,MED,MIDE,XXL,MidEastNAfr,MidEast,MIDDLE_EAST,MAF,MAF,MEA,MEA,MIDE,JOR,JOR,JOR,JOR,JOR,JOR,MED
137,JPN,Japan,EAS,CEAS,XXL,JPN,JPN,PAC_OECD,OECD90+EU,OTHEROECD,PAO,PAO,KAJ,JPN,JPN,JPN,JPN,JPN,JPN,EAS
138,KAZ,Kazakhstan,WSB,CEAS,XXL,Former_USSR,RFSU,REF_ECON,REF,REF,FSU,FSU,CAS,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,CAS
139,KEN,Kenya,SEAF,SHAF,XXL,EastAfr,EastAfr,AFRICA,MAF,MAF,AFR,AFR,EQAF,KEN,KEN,KEN,KEN,KEN,KEN,EAF
140,KGZ,Kyrgyzstan,ECA,CEAS,XXL,Former_USSR,RFSU,REF_ECON,REF,REF,FSU,FSU,CAS,KGZ,KGZ,KGZ,KGZ,KGZ,KGZ,CAS
141,KHM,Cambodia,SEA,SEAS,XXL,RSEA_PAC,RSEA_PAC,REST_ASIA,ASIA,OTHERASIA,CPA,RCPA,SEAS,KHM,KHM,KHM,KHM,KHM,KHM,SEA
142,KIR,Kiribati,EPO,XXXX,XXL,PAC_Islands,PAC_Islands,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,XXX,KIR,KIR,KIR,KIR,KIR,KIR,XXX
143,KNA,Saint Kitts and Nevis,CAR,CEAM,XXL,ROWO,ROWO,LATIN_AM,LAM,LAM,LAM,LAM,XXX,KNA,KNA,XXX,XXX,XXX,XXX,XXX
